School	City	County	Private_Public	College	Applied	Admitted	Enrolled	Admit_Rate_%	Rank_Within_Type	Overall_Rank	African_American_Applied	African_American_Admitted	African_American_Enrolled	African_American_Admit_Rate_%	American_Indian_Applied	American_Indian_Admitted	American_Indian_Enrolled	American_Indian_Admit_Rate_%	Hispanic_Latinx_Applied	Hispanic_Latinx_Admitted	Hispanic_Latinx_Enrolled	Hispanic_Latinx_Admit_Rate_%	Pacific_Islander_Applied	Pacific_Islander_Admitted	Pacific_Islander_Enrolled	Pacific_Islander_Admit_Rate_%	Asian_Applied	Asian_Admitted	Asian_Enrolled	Asian_Admit_Rate_%	White_Applied	White_Admitted	White_Enrolled	White_Admit_Rate_%	Domestic_Unknown_Applied	Domestic_Unknown_Admitted	Domestic_Unknown_Enrolled	Domestic_Unknown_Admit_Rate_%	International_Applied	International_Admitted	International_Enrolled	International_Admit_Rate_%
ARISE HIGH SCHOOL	Oakland	Alameda	Public	UC Berkeley	37	5	0	13.51	33	47	0	0	0	0.0	0	0	0	0.0	35	5	0	14.29	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MILPITAS HIGH SCHOOL	Milpitas	Santa Clara	Public	UC Berkeley	268	36	24	13.43	34	48	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	225	31	19	13.78	10	0	0	0.0	8	0	0	0.0	12	0	0	0.0
CHRISTOPHER HIGH SCHOOL	Gilroy	Santa Clara	Public	UC Berkeley	53	7	5	13.21	35	49	9	3	0	33.33	0	0	0	0.0	21	0	0	0.0	0	0	0	0.0	14	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0
FREMONT CHRISTIAN HIGH SCHOOL	Fremont	Alameda	Private	UC Berkeley	23	3	0	13.04	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALBANY HIGH SCHOOL	Albany	Alameda	Public	UC Berkeley	143	18	11	12.59	36	50	0	0	0	0.0	0	0	0	0.0	17	0	0	0.0	0	0	0	0.0	78	14	9	17.95	39	4	0	10.26	6	0	0	0.0	0	0	0	0.0
FREMONT HIGH SCHOOL	Oakland	Alameda	Public	UC Berkeley	40	5	3	12.5	37	51	0	0	0	0.0	0	0	0	0.0	28	4	0	14.29	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
EVERGREEN VALLEY HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	332	41	24	12.35	38	52	0	0	0	0.0	0	0	0	0.0	11	0	0	0.0	0	0	0	0.0	282	37	22	13.12	0	0	0	0.0	22	4	0	18.18	10	0	0	0.0
DUBLIN HIGH SCHOOL	Dublin	Alameda	Public	UC Berkeley	462	56	39	12.12	39	53	7	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	372	48	36	12.9	27	0	0	0.0	30	6	0	20.0	17	0	0	0.0
SILVER CREEK HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	124	15	10	12.1	40	54	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	107	14	9	13.08	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0
LYNBROOK HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	323	39	32	12.07	41	55	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	243	26	24	10.7	11	0	0	0.0	53	12	7	22.64	11	0	0	0.0
